Gender,Age,Height (inches),Weight (lbs),How would you describe your weight?,,
Female,18,67,130,Slightly overweight,,
Male,19,72,175,About the right weight,,
Female,18,68,155,Slightly overweight,,
Female,16,64,-2,Very overweight,,
Male,17,66,130,Slightly underweight,,
Male,17,72,200,Slightly overweight,,
Male,15,69,150,About the right weight,,
Female,19,63,145,Slightly overweight,,
Female,15,65,91,Very underweight,,
Female,17,61,-2,Slightly overweight,,
Male,15,73,205,Slightly overweight,,
Male,17,71,135,Slightly underweight,,
Male,16,68,138,About the right weight,,
Female,16,63,180,Very overweight,,
Female,15,62,102,Slightly underweight,,
Male,15,71,155,About the right weight,,
Male,17,72,185,Slightly underweight,,
Female,15,67,125,About the right weight,,
Male,15,71,190,Slightly overweight,,
Female,15,63,113,About the right weight,,
Female,15,63,125,About the right weight,,
Female,18,64,120,Slightly overweight,,
Female,19,61,120,About the right weight,,
Female,17,64,105,About the right weight,,
Male,15,71,210,Slightly overweight,,
Female,16,63,138,Slightly overweight,,
Male,18,66,150,Slightly overweight,,
Male,16,65,142,About the right weight,,
Male,17,72,206,Slightly overweight,,
Female,16,65,113,About the right weight,,
Female,18,67,160,Slightly overweight,,
Male,15,65,170,Slightly overweight,,
Male,18,68,120,Slightly underweight,,
Female,16,65,120,About the right weight,,
Male,19,71,140,Very underweight,,
Male,17,72,140,About the right weight,,
Male,14,65,133,About the right weight,,
Female,16,64,190,Slightly overweight,,
Female,15,64,112,About the right weight,,
Male,16,67,135,About the right weight,,
Female,19,71,165,About the right weight,,
Male,17,72,160,About the right weight,,
Female,15,67,126,About the right weight,,
Female,18,66,160,Slightly overweight,,
Male,18,74,240,Slightly overweight,,
Female,16,63,125,About the right weight,,
Female,16,64,150,Slightly overweight,,
Female,15,64,110,About the right weight,,
Female,17,60,100,Slightly underweight,,
Female,17,68,130,About the right weight,,
Male,16,64,120,About the right weight,,
Female,19,66,150,Slightly overweight,,
Male,16,70,135,About the right weight,,
Female,18,62,115,About the right weight,,
Female,17,71,148,About the right weight,,
Male,15,69,145,About the right weight,,
Female,19,61,125,Slightly overweight,,
Female,16,63,110,About the right weight,,
Male,15,74,160,About the right weight,,
Male,18,68,140,About the right weight,,
Female,15,59,95,About the right weight,,
Male,16,74,145,Slightly underweight,,
Female,17,63,125,About the right weight,,
Female,18,63,140,Slightly overweight,,
Female,17,59,102,About the right weight,,
Female,17,66,165,,,
Male,16,69,250,,,
Male,18,64,140,About the right weight,,
Female,16,60,100,About the right weight,,
Male,16,66,135,About the right weight,,
Female,15,63,180,Slightly overweight,,
Female,15,62,107,About the right weight,,
Female,15,63,110,About the right weight,,
Female,18,66,130,About the right weight,,
Female,15,66,140,Slightly overweight,,
Female,17,62,125,Slightly overweight,,
Male,15,68,145,About the right weight,,
Male,17,68,155,About the right weight,,
Male,15,69,145,About the right weight,,
Male,17,71,175,Slightly overweight,,
Female,20,67,150,About the right weight,,
Male,17,69,130,Slightly underweight,,
Male,15,65,130,About the right weight,,
Female,17,62,115,About the right weight,,
Female,19,75,180,Slightly overweight,,
Female,18,64,130,Slightly overweight,,
Female,15,63,120,About the right weight,,
Female,19,63,130,Slightly overweight,,
Female,15,64,130,Slightly overweight,,
Female,18,68,140,About the right weight,,
Female,15,67,133,About the right weight,,
Male,15,73,260,Very overweight,,
Female,18,67,135,Slightly overweight,,
Female,15,64,115,Slightly underweight,,
Male,16,69,170,About the right weight,,
Male,15,66,130,Slightly overweight,,
Male,19,70,210,Slightly overweight,,
Male,16,70,155,Slightly overweight,,
Male,19,73,189,About the right weight,,
Female,15,69,135,Slightly overweight,,
Male,19,74,200,Slightly overweight,,
Male,15,73,145,About the right weight,,
Female,17,64,135,About the right weight,,
Female,15,65,115,About the right weight,,
Female,14,65,114,About the right weight,,
Female,17,70,145,About the right weight,,
Male,18,69,140,Slightly underweight,,
Female,15,63,100,About the right weight,,
Male,17,64,110,Very underweight,,
Female,16,64,110,About the right weight,,
Male,17,70,155,About the right weight,,
Male,15,71,150,About the right weight,,
Male,17,70,180,About the right weight,,
Male,18,70,265,Slightly overweight,,
Male,17,66,160,About the right weight,,
Male,17,70,135,About the right weight,,
Male,19,69,155,Slightly underweight,,
Female,17,65,110,Very underweight,,
Male,17,66,140,Slightly overweight,,
Female,15,65,105,Slightly underweight,,
Female,18,62,130,About the right weight,,
Female,18,61,129,About the right weight,,
Female,19,66,220,Very overweight,,
Male,16,70,210,Very overweight,,
Female,16,64,110,About the right weight,,
Female,16,63,190,Slightly overweight,,
Male,19,64,130,About the right weight,,
Female,16,70,220,Very overweight,,
Female,18,64,118,About the right weight,,
Female,19,64,115,About the right weight,,
Female,18,64,135,Slightly overweight,,
Male,19,72,225,Slightly overweight,,
Male,16,70,180,About the right weight,,
Male,16,69,180,About the right weight,,
Male,18,69,190,Slightly overweight,,
Male,15,71,135,About the right weight,,
Female,17,63,150,Slightly overweight,,
Male,15,69,200,Slightly overweight,,
Male,17,64,125,About the right weight,,
Male,14,65,114,About the right weight,,
Male,16,67,125,Slightly underweight,,
Female,19,63,160,Very overweight,,
Male,17,72,155,About the right weight,,
Female,16,63,97,About the right weight,,
Male,18,72,165,About the right weight,,
Male,16,66,115,Slightly underweight,,
Male,16,66,150,About the right weight,,
Male,17,66,135,About the right weight,,
Male,16,66,120,Slightly underweight,,
Male,19,70,150,About the right weight,,
Female,15,64,120,About the right weight,,
Male,16,70,140,About the right weight,,
Male,16,68,140,About the right weight,,
Male,17,74,135,Slightly underweight,,
Female,15,65,125,About the right weight,,
Female,18,65,155,Slightly overweight,,
Female,15,67,180,Slightly overweight,,
Female,18,63,115,About the right weight,,
Male,18,71,220,Slightly overweight,,
Male,19,73,200,Slightly overweight,,
Male,18,75,175,Slightly underweight,,
Male,16,75,175,About the right weight,,
Female,17,66,-2,Very overweight,,
Male,18,71,150,Slightly underweight,,
Male,17,71,150,About the right weight,,
Female,16,62,155,About the right weight,,
Male,17,65,130,About the right weight,,
Male,15,73,157,About the right weight,,
Male,17,71,175,Slightly underweight,,
Male,15,65,137,About the right weight,,
Female,15,63,200,Slightly overweight,,
Female,18,66,137,About the right weight,,
Male,18,71,165,About the right weight,,
Female,17,60,118,About the right weight,,
Female,19,64,123,About the right weight,,
Male,16,68,150,About the right weight,,
Female,19,64,120,About the right weight,,
Male,16,76,174,About the right weight,,
Female,19,63,125,Slightly underweight,,
Female,16,63,130,About the right weight,,
Male,16,72,170,Slightly overweight,,
Female,19,67,150,About the right weight,,
Male,17,69,137,Slightly underweight,,
Male,17,71,165,About the right weight,,
Female,16,62,198,Slightly overweight,,
Female,17,64,165,About the right weight,,
Female,20,65,135,About the right weight,,
Female,18,66,130,About the right weight,,
Male,17,75,221,About the right weight,,
Male,15,75,250,Slightly overweight,,
Female,15,64,202,Slightly overweight,,
Female,16,67,119,About the right weight,,
Male,18,74,180,About the right weight,,
Female,15,61,150,Very overweight,,
Female,16,64,116,About the right weight,,
Male,15,65,135,About the right weight,,
Female,18,62,130,About the right weight,,
Male,15,71,-2,Slightly overweight,,
Male,19,75,185,Slightly underweight,,
Female,18,63,120,Slightly overweight,,
Male,16,68,150,About the right weight,,
Female,16,68,130,About the right weight,,
Female,17,64,115,About the right weight,,
Female,16,61,110,About the right weight,,
Male,16,68,156,About the right weight,,
Male,19,68,149,About the right weight,,
Female,16,62,112,About the right weight,,
Male,16,66,130,About the right weight,,
Female,17,69,130,Slightly underweight,,
Female,19,66,155,Slightly overweight,,
Female,17,62,130,Slightly overweight,,
Male,19,73,150,About the right weight,,
Male,16,69,145,About the right weight,,
Female,19,63,115,About the right weight,,
Female,15,69,115,Slightly overweight,,
Male,19,70,165,About the right weight,,
Male,17,69,150,About the right weight,,
Female,19,64,-2,About the right weight,,
Female,17,63,130,About the right weight,,
Male,17,66,-2,Slightly underweight,,
Male,19,71,-2,Slightly underweight,,
Male,17,71,165,Slightly overweight,,
Female,15,61,115,About the right weight,,
Male,19,72,215,About the right weight,,
Female,16,67,130,About the right weight,,
Female,19,66,-2,About the right weight,,
Female,17,64,146,About the right weight,,
Female,17,59,175,Very overweight,,
Female,15,66,120,About the right weight,,
Female,15,62,-2,Slightly overweight,,
Female,18,61,95,About the right weight,,
Female,16,60,118,About the right weight,,
Male,19,67,152,About the right weight,,
Female,17,56,100,About the right weight,,
Male,16,72,210,Slightly overweight,,
Female,15,62,95,Slightly underweight,,
Male,18,65,200,Slightly overweight,,
Male,18,67,140,Slightly underweight,,
Female,16,63,105,About the right weight,,
Male,17,70,135,About the right weight,,
Female,16,62,105,About the right weight,,
Male,14,59,70,Very underweight,,
Female,19,67,137,Slightly overweight,,
Female,15,66,150,Very overweight,,
Female,19,63,105,About the right weight,,
Female,15,63,120,About the right weight,,
Male,19,75,210,About the right weight,,
Female,14,63,112,About the right weight,,
Male,17,72,138,About the right weight,,
Male,16,74,156,About the right weight,,
Male,19,71,210,About the right weight,,
Female,17,68,156,Slightly overweight,,
Female,15,68,140,Slightly overweight,,
Male,16,74,140,Slightly underweight,,
Male,15,72,135,About the right weight,,
Male,16,71,213,About the right weight,,
Female,16,64,127,About the right weight,,
Female,14,63,125,About the right weight,,
Male,15,74,140,About the right weight,,
Female,18,68,113,About the right weight,,
Male,15,66,125,About the right weight,,
Male,16,65,142,About the right weight,,
Male,19,73,140,About the right weight,,
Female,17,61,130,Slightly overweight,,
Female,16,64,124,About the right weight,,
Female,17,62,120,About the right weight,,
Female,15,63,125,Slightly overweight,,
Male,20,72,200,Slightly overweight,,
Female,18,64,120,Slightly overweight,,
Female,16,64,95,Slightly underweight,,
Male,15,71,160,About the right weight,,
Female,15,64,120,About the right weight,,
Female,19,62,120,About the right weight,,
Female,17,60,99,About the right weight,,
Female,16,64,115,Slightly underweight,,
Male,17,73,185,Slightly overweight,,
Female,15,62,125,About the right weight,,
Male,19,71,174,About the right weight,,
Male,18,69,135,Slightly underweight,,
Male,17,69,125,About the right weight,,
Female,17,61,110,About the right weight,,
Male,18,72,160,About the right weight,,
Male,19,71,210,Slightly overweight,,
Male,16,66,130,Slightly overweight,,
Male,17,69,190,Slightly overweight,,
Female,16,64,100,About the right weight,,
Female,20,68,130,About the right weight,,
Male,19,70,175,About the right weight,,
Male,18,68,180,About the right weight,,
Female,16,64,138,Very overweight,,
Male,18,68,145,About the right weight,,
Male,15,71,220,Very overweight,,
Male,18,72,165,About the right weight,,
Female,16,66,140,About the right weight,,
Male,16,72,200,Slightly overweight,,
Female,18,66,145,About the right weight,,
Male,15,69,145,About the right weight,,
Female,17,64,201,Very overweight,,
Male,17,70,160,About the right weight,,
Male,17,70,155,Slightly overweight,,
Male,15,67,-2,Slightly overweight,,
Female,17,62,135,Slightly overweight,,
Female,19,67,140,Slightly overweight,,
Male,17,72,150,About the right weight,,
Male,19,68,155,About the right weight,,
Male,16,64,135,About the right weight,,
Male,19,71,145,About the right weight,,
Female,16,67,127,Slightly underweight,,
Female,16,67,140,About the right weight,,
Male,17,68,180,Slightly overweight,,
Female,18,61,118,Slightly overweight,,
Male,18,69,162,About the right weight,,
Male,19,64,140,About the right weight,,
Male,17,72,185,About the right weight,,
Female,15,64,145,Slightly overweight,,
Male,18,73,183,Slightly underweight,,
Male,19,67,168,About the right weight,,
Male,16,69,180,Slightly overweight,,
Female,19,65,135,About the right weight,,
Male,16,71,160,About the right weight,,
Female,18,63,185,About the right weight,,
Male,16,67,140,About the right weight,,
Female,19,64,160,Slightly overweight,,
Female,15,73,187,Very overweight,,
Male,17,71,173,About the right weight,,
Male,17,69,135,About the right weight,,
Female,16,67,133,About the right weight,,
Male,16,71,150,About the right weight,,
Male,19,71,130,About the right weight,,
Female,16,67,-2,Slightly overweight,,
Male,15,68,130,About the right weight,,
Male,17,71,138,Slightly overweight,,
Male,19,66,180,About the right weight,,
Female,17,66,157,Slightly overweight,,
Male,18,70,150,About the right weight,,
Male,16,73,145,About the right weight,,
Male,15,65,210,About the right weight,,
Female,18,64,180,Slightly overweight,,
Male,17,71,145,About the right weight,,
Female,19,62,117,About the right weight,,
Male,18,65,165,About the right weight,,
Female,19,60,123,About the right weight,,
Male,19,71,220,Slightly overweight,,
Female,16,64,110,About the right weight,,
Male,20,70,160,About the right weight,,
Female,15,60,120,Slightly overweight,,
Male,19,72,165,Slightly underweight,,
Male,16,71,140,Slightly underweight,,
Male,16,74,160,About the right weight,,
Male,16,66,150,About the right weight,,
Male,16,73,170,Slightly overweight,,
Male,17,73,180,Slightly overweight,,
Male,16,71,130,Slightly underweight,,
Female,16,62,115,Slightly overweight,,
Male,16,70,160,Slightly overweight,,
Male,17,68,143,About the right weight,,
Female,18,63,117,Slightly overweight,,
Female,15,64,120,About the right weight,,
Male,18,70,185,Slightly overweight,,
Female,19,64,145,Slightly overweight,,
Male,17,58,140,About the right weight,,
Female,15,63,110,About the right weight,,
Female,19,64,135,Slightly overweight,,
Male,17,69,135,About the right weight,,
Male,18,72,150,About the right weight,,
Male,18,67,185,Slightly overweight,,
Female,15,70,110,Slightly underweight,,
Female,17,63,125,Slightly overweight,,
Female,16,67,122,About the right weight,,
Female,17,66,120,About the right weight,,
Male,15,70,180,About the right weight,,
Male,16,72,185,Slightly overweight,,
Male,18,72,130,Very underweight,,
Male,15,67,127,Very underweight,,
Male,17,67,135,About the right weight,,
Male,15,69,186,About the right weight,,
Female,19,62,105,About the right weight,,
Female,16,69,130,About the right weight,,
Male,18,70,165,Slightly underweight,,
Female,19,66,170,Slightly overweight,,
Female,18,71,144,Slightly overweight,,
Male,18,63,145,About the right weight,,
Female,17,70,140,About the right weight,,
Male,19,72,200,Slightly overweight,,
Female,19,64,140,Slightly overweight,,
Female,16,61,165,Very overweight,,
Female,19,64,126,About the right weight,,
Male,17,72,235,Slightly overweight,,
Male,17,69,140,About the right weight,,
Male,17,69,135,About the right weight,,
Male,15,68,130,About the right weight,,
Female,18,61,140,Slightly overweight,,
Male,16,68,130,About the right weight,,
Male,18,75,178,Slightly underweight,,
Female,18,63,115,About the right weight,,
Male,16,73,155,About the right weight,,
Male,16,68,180,Slightly overweight,,
Male,16,67,150,About the right weight,,
Female,18,68,140,Slightly overweight,,
Male,19,72,170,Slightly overweight,,
Female,17,66,156,Slightly overweight,,
Male,18,72,165,About the right weight,,
Male,15,76,215,About the right weight,,
Female,20,70,130,About the right weight,,
Female,16,62,110,About the right weight,,
Male,19,69,200,Slightly overweight,,
Male,17,73,200,Slightly overweight,,
Male,15,71,160,About the right weight,,
Male,15,72,175,Slightly overweight,,
Male,19,76,165,About the right weight,,
Male,18,76,200,About the right weight,,
Female,18,65,128,About the right weight,,
Female,15,63,125,,,
Female,16,65,140,Slightly overweight,,
Female,17,63,130,Slightly overweight,,
Male,18,74,140,Slightly underweight,,
Female,19,68,220,Slightly overweight,,
Female,19,63,105,Slightly underweight,,
Female,16,64,110,About the right weight,,
Female,17,63,110,About the right weight,,
Female,19,64,150,Slightly overweight,,
Female,16,68,130,About the right weight,,
Female,17,68,140,About the right weight,,
Male,15,67,175,Slightly overweight,,
Female,15,63,200,Slightly overweight,,
Male,19,73,190,About the right weight,,
Male,17,67,142,About the right weight,,
Female,17,68,210,Very overweight,,
Male,15,68,130,Slightly underweight,,
Female,19,69,170,Slightly overweight,,
Female,17,61,125,Slightly overweight,,
Male,16,76,329,Slightly overweight,,
Female,17,64,145,About the right weight,,
Female,19,70,140,Very underweight,,
Female,18,66,130,About the right weight,,
Female,18,66,138,About the right weight,,
Female,16,61,100,About the right weight,,
Male,19,73,185,About the right weight,,
Female,17,65,130,About the right weight,,
Male,19,68,150,Slightly underweight,,
Male,15,67,129,About the right weight,,
Female,17,65,120,About the right weight,,
Female,18,64,144,Slightly overweight,,
Male,18,70,156,Slightly overweight,,
Male,16,74,320,Slightly overweight,,
Male,19,71,170,About the right weight,,
Male,18,71,144,About the right weight,,
Female,16,62,115,About the right weight,,
Female,20,66,180,Slightly overweight,,
Female,16,65,150,Slightly overweight,,
Male,17,71,280,Slightly overweight,,
Male,16,69,165,About the right weight,,
Female,16,65,130,Slightly overweight,,
Male,18,69,128,About the right weight,,
Male,16,67,110,About the right weight,,
Male,15,69,135,About the right weight,,
Female,19,62,115,About the right weight,,
Female,17,60,103,Slightly underweight,,
Female,15,60,105,About the right weight,,
Male,18,72,234,Slightly overweight,,
Male,18,65,120,Slightly underweight,,
Male,17,66,153,About the right weight,,
Female,19,67,130,About the right weight,,
Male,18,72,170,About the right weight,,
Male,17,64,133,About the right weight,,
Male,20,69,174,About the right weight,,
Male,15,67,160,Slightly overweight,,
Female,16,64,155,Slightly overweight,,
Female,18,60,128,About the right weight,,
Female,15,67,115,Slightly overweight,,
Male,16,74,170,About the right weight,,
Male,17,72,200,Slightly overweight,,
Female,15,60,150,Slightly overweight,,
Male,19,71,220,Slightly overweight,,
Male,15,71,160,About the right weight,,
Male,16,70,125,Slightly underweight,,
Female,15,61,100,About the right weight,,
Female,19,70,135,About the right weight,,
Male,16,65,125,About the right weight,,
Male,15,71,200,Slightly overweight,,
Male,17,73,265,Slightly overweight,,
Female,16,66,140,Slightly overweight,,
Female,17,66,110,About the right weight,,
Female,18,60,99,Slightly underweight,,
Female,17,63,109,Slightly overweight,,
Female,15,59,150,About the right weight,,
Female,19,61,103,About the right weight,,
Male,17,54,115,About the right weight,,
Female,19,61,108,About the right weight,,
Female,19,62,100,Slightly underweight,,
Female,15,62,-2,About the right weight,,
Male,16,67,153,About the right weight,,
Male,16,70,175,About the right weight,,
Male,15,70,175,About the right weight,,
Male,17,66,147,Slightly underweight,,
Female,19,63,160,Slightly overweight,,
Female,15,63,129,About the right weight,,
Male,19,77,187,About the right weight,,
Male,16,71,140,Slightly underweight,,
Male,16,70,160,About the right weight,,
Male,17,65,150,Slightly underweight,,
Male,15,72,180,About the right weight,,
Male,16,68,-2,About the right weight,,
Female,19,67,160,Slightly overweight,,
Female,19,68,135,Slightly overweight,,
Female,17,68,130,About the right weight,,
Female,15,68,111,About the right weight,,
Female,17,66,140,About the right weight,,
Female,17,61,95,About the right weight,,
Male,16,70,150,About the right weight,,
Male,16,71,159,About the right weight,,
Female,17,66,180,About the right weight,,
Female,17,66,125,About the right weight,,
Male,16,72,160,About the right weight,,
Female,17,61,98,About the right weight,,
Female,16,62,157,Slightly overweight,,
Female,16,64,188,About the right weight,,
Male,18,65,180,About the right weight,,
Male,17,66,127,About the right weight,,
Female,15,63,110,About the right weight,,
Female,19,63,116,Slightly underweight,,
Female,18,70,131,About the right weight,,
Female,17,68,105,Slightly underweight,,
Female,17,67,123,About the right weight,,
Female,15,65,114,Slightly underweight,,
Male,19,72,165,About the right weight,,
Male,17,75,190,Slightly overweight,,
Female,15,66,135,About the right weight,,
Female,17,67,170,Slightly overweight,,
Male,16,68,170,About the right weight,,
Female,18,66,125,About the right weight,,
Female,18,66,150,Slightly overweight,,
Male,16,68,155,About the right weight,,
Female,18,65,135,About the right weight,,
Female,17,65,145,Slightly overweight,,
Male,15,72,180,Slightly overweight,,
Male,16,72,150,Slightly overweight,,
Female,16,61,112,About the right weight,,
Male,19,70,140,Slightly underweight,,
Female,18,67,135,About the right weight,,
Female,18,63,118,Slightly overweight,,
Male,16,69,140,Slightly underweight,,
Female,18,62,125,Very overweight,,
Female,18,66,135,Slightly underweight,,
Male,16,72,175,About the right weight,,
Male,19,71,160,About the right weight,,
Male,16,73,195,Slightly overweight,,
Male,18,72,166,About the right weight,,
Female,15,61,115,About the right weight,,
Male,15,66,115,About the right weight,,
Male,18,69,165,Slightly overweight,,
Female,15,64,115,About the right weight,,
Male,19,73,176,About the right weight,,
Female,15,65,125,Slightly overweight,,
Male,15,68,165,About the right weight,,
Female,18,65,103,Slightly underweight,,
Male,17,71,135,Slightly underweight,,
Male,15,64,-2,About the right weight,,
Female,17,60,243,Slightly overweight,,
Male,15,67,298,Very overweight,,
Female,16,67,239,,,
Male,15,70,180,About the right weight,,
Male,19,70,140,About the right weight,,
Female,16,64,128,About the right weight,,
Female,18,68,158,Slightly overweight,,
Female,15,66,147,About the right weight,,
Male,16,75,178,About the right weight,,
Female,19,67,125,Slightly underweight,,
Female,16,66,147,About the right weight,,
Male,15,64,140,About the right weight,,
Male,18,71,190,About the right weight,,
Male,15,68,170,Slightly overweight,,
Male,19,68,135,Slightly underweight,,
Male,16,65,125,About the right weight,,
Male,15,64,135,Slightly underweight,,
Female,18,66,125,Slightly overweight,,
Male,19,71,145,Slightly underweight,,
Female,16,63,110,Slightly underweight,,
Female,16,66,140,About the right weight,,
Male,17,71,230,About the right weight,,
Female,17,64,120,About the right weight,,
Male,16,68,160,Slightly overweight,,
Female,19,64,118,Slightly underweight,,
Female,19,63,115,About the right weight,,
Female,17,61,120,About the right weight,,
Female,17,65,107,About the right weight,,
Female,15,64,109,About the right weight,,
Female,19,67,150,Slightly overweight,,
Female,17,64,135,About the right weight,,
Female,19,64,160,Slightly overweight,,
Female,15,65,-2,About the right weight,,
Male,18,71,170,About the right weight,,
Female,16,64,110,About the right weight,,
Male,15,63,140,About the right weight,,
Female,15,63,113,About the right weight,,
Male,15,70,190,About the right weight,,
Female,16,58,135,Slightly overweight,,
Male,19,69,157,About the right weight,,
Female,17,67,217,Slightly overweight,,
Female,15,65,-2,Very overweight,,
Female,15,65,-2,Slightly underweight,,
Male,17,71,155,Slightly underweight,,
Male,19,66,150,About the right weight,,
Female,19,63,130,About the right weight,,
Female,16,64,115,Very underweight,,
Male,16,70,150,About the right weight,,
Male,15,72,135,Slightly underweight,,
Female,18,68,170,Slightly overweight,,
Male,17,74,175,About the right weight,,
Female,18,67,125,About the right weight,,
Male,19,75,190,Slightly overweight,,
Male,19,76,220,Slightly overweight,,
Female,16,69,140,About the right weight,,
Male,17,72,193,Slightly overweight,,
Female,17,67,120,Slightly underweight,,
Female,19,62,93,Slightly underweight,,
Male,16,66,110,About the right weight,,
Male,16,72,135,About the right weight,,
Female,16,70,130,About the right weight,,
Female,16,60,110,About the right weight,,
Female,15,60,93,About the right weight,,
Female,14,63,117,Slightly overweight,,
Female,16,60,93,Slightly underweight,,
Female,17,62,125,About the right weight,,
Female,15,60,110,About the right weight,,
Male,17,67,-2,Slightly overweight,,
Female,16,66,-2,Very overweight,,
Male,18,74,220,About the right weight,,
Male,16,72,135,Slightly underweight,,
Male,15,67,122,Slightly underweight,,
Female,19,64,135,Slightly overweight,,
Male,15,71,170,About the right weight,,
Male,18,69,250,Slightly overweight,,
Male,16,69,250,Slightly overweight,,
Male,19,69,162,About the right weight,,
Male,16,72,255,Slightly overweight,,
Female,15,64,165,Slightly overweight,,
Male,17,69,150,Slightly underweight,,
Male,17,63,125,About the right weight,,
Male,15,65,125,About the right weight,,
Male,15,62,120,,,
Male,15,67,138,About the right weight,,
Male,16,69,136,About the right weight,,
Male,16,69,160,About the right weight,,
Female,15,67,220,Very overweight,,
Female,17,60,120,About the right weight,,
Female,17,67,145,About the right weight,,
Male,18,76,120,Very underweight,,
Female,17,53,97,About the right weight,,
Male,17,68,160,About the right weight,,
Female,16,67,110,About the right weight,,
Female,18,62,103,Slightly underweight,,
Female,19,61,108,About the right weight,,
Female,15,62,100,About the right weight,,
Male,18,70,210,Slightly overweight,,
Male,16,72,155,About the right weight,,
Male,19,68,130,About the right weight,,
Female,19,65,145,Slightly overweight,,
Male,19,68,130,Slightly underweight,,
Female,17,58,96,About the right weight,,
Female,15,59,115,About the right weight,,
Male,16,66,125,About the right weight,,
Female,17,68,220,Very overweight,,
Female,15,66,130,About the right weight,,
Male,18,68,140,About the right weight,,
Female,16,67,115,About the right weight,,
Male,17,73,200,About the right weight,,
Female,18,67,135,About the right weight,,
Female,16,67,135,Slightly overweight,,
Female,19,64,200,Slightly overweight,,
Female,17,68,240,Slightly overweight,,
Male,16,63,140,About the right weight,,
Male,17,70,140,About the right weight,,
Female,18,59,105,About the right weight,,
Female,17,65,135,About the right weight,,
Female,14,65,95,About the right weight,,
Female,19,65,130,About the right weight,,
Female,19,58,140,Slightly overweight,,
Female,16,66,136,About the right weight,,
Female,17,69,137,About the right weight,,
Female,17,66,115,Slightly overweight,,
Female,17,68,200,Slightly overweight,,
Female,19,64,120,Slightly underweight,,
Male,16,67,180,About the right weight,,
Male,16,74,155,Slightly underweight,,
Male,19,71,250,Slightly overweight,,
Male,18,67,145,About the right weight,,
Male,15,70,160,About the right weight,,
Male,18,70,180,About the right weight,,
Female,15,66,135,Slightly overweight,,
Male,16,74,160,About the right weight,,
Female,15,67,130,About the right weight,,
Male,17,66,155,Slightly overweight,,
Male,16,65,210,Slightly overweight,,
Female,17,69,140,About the right weight,,
Female,18,68,130,Slightly overweight,,
Male,17,74,180,About the right weight,,
Male,15,67,165,Slightly overweight,,
Female,19,63,130,Slightly overweight,,
Female,15,65,125,Slightly overweight,,
Male,19,73,170,About the right weight,,
Male,16,65,135,Slightly underweight,,
Male,19,71,165,About the right weight,,
Female,15,62,117,About the right weight,,
Male,17,71,160,About the right weight,,
Female,16,68,117,Slightly underweight,,
Female,16,66,115,Slightly underweight,,
Male,18,72,145,Slightly underweight,,
Female,18,60,120,Slightly overweight,,
Male,18,71,143,Slightly underweight,,
Male,17,74,175,Slightly underweight,,
Female,17,61,127,About the right weight,,
Male,18,68,157,About the right weight,,
Male,19,72,150,Slightly underweight,,
Female,17,66,117,Slightly underweight,,
Male,18,73,165,Slightly underweight,,
Male,16,69,-2,Slightly overweight,,
Male,19,71,190,About the right weight,,
Male,17,69,175,About the right weight,,
Male,15,67,160,About the right weight,,
Female,16,64,117,About the right weight,,
Male,16,74,205,Slightly overweight,,
Male,19,70,160,About the right weight,,
Male,18,72,250,Slightly overweight,,
Female,15,66,-2,About the right weight,,
Male,16,72,170,Slightly overweight,,
Male,18,71,165,Slightly underweight,,
Male,18,72,145,About the right weight,,
Male,15,63,120,About the right weight,,
Male,15,71,200,About the right weight,,
Female,18,64,120,About the right weight,,
Female,19,63,130,Slightly overweight,,
Female,17,62,126,Slightly overweight,,
Female,15,63,120,Slightly underweight,,
Female,17,68,160,Slightly overweight,,
Female,18,67,120,About the right weight,,
Male,15,73,150,Slightly underweight,,
Male,19,71,180,About the right weight,,
Female,17,68,120,About the right weight,,
Male,15,72,155,About the right weight,,
Female,17,68,132,About the right weight,,
Female,17,66,145,Slightly overweight,,
Male,18,70,175,About the right weight,,
Female,19,69,120,Slightly underweight,,
Male,19,75,250,About the right weight,,
Female,18,72,250,Very overweight,,
Male,19,78,250,Slightly overweight,,
Female,17,63,125,About the right weight,,
Male,18,65,115,Very underweight,,
Male,16,65,106,About the right weight,,
Female,15,66,120,Slightly overweight,,
Female,15,67,133,About the right weight,,
Female,15,67,133,Slightly overweight,,
Male,18,70,165,About the right weight,,
Male,15,73,160,,,
Male,16,69,130,,,
Female,19,52,-2,Slightly overweight,,
Male,17,71,160,,,
Male,17,70,145,About the right weight,,
Male,15,69,175,About the right weight,,
Female,19,68,138,About the right weight,,
Male,17,72,164,About the right weight,,
Female,18,63,150,,,
Female,15,63,130,About the right weight,,
Male,17,69,130,About the right weight,,
Female,19,67,121,Slightly underweight,,
Male,16,66,200,Slightly overweight,,
Male,19,69,150,About the right weight,,
Female,16,65,185,Very overweight,,
Female,14,62,110,Slightly overweight,,
Male,16,70,160,About the right weight,,
Male,18,73,155,About the right weight,,
Female,17,63,126,About the right weight,,
Female,15,63,127,About the right weight,,
Female,16,58,150,Very overweight,,
Male,18,70,190,About the right weight,,
Male,19,67,138,About the right weight,,
Male,19,71,205,About the right weight,,
Female,18,60,136,About the right weight,,
Male,20,65,126,About the right weight,,
Male,17,60,115,About the right weight,,
Male,17,71,152,About the right weight,,
Female,16,65,128,About the right weight,,
Male,15,68,165,About the right weight,,
Female,18,65,110,About the right weight,,
Male,15,60,105,About the right weight,,
Female,17,70,190,Very overweight,,
Male,16,68,200,Slightly overweight,,
